TITLE	280s - 183nm - n
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/13
TIME	18:35:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2500.0000
LASTX	  900.0000
NPOINTS	    3201
FIRSTY	    -2.84036
MAXY	    10.00000
MINY	    -4.40055
XYDATA
2500.0000	-2.84036
2499.5000	-3.86729
2499.0000	10
2498.5000	0.72559
2498.0000	10
2497.5000	0.443018
2497.0000	10
2496.5000	10
2496.0000	10
2495.5000	10
2495.0000	10
2494.5000	10
2494.0000	10
2493.5000	10
2493.0000	10
2492.5000	10
2492.0000	10
2491.5000	10
2491.0000	10
2490.5000	10
2490.0000	0.339275
2489.5000	-0.141094
2489.0000	0.240322
2488.5000	10
2488.0000	10
2487.5000	10
2487.0000	10
2486.5000	10
2486.0000	10
2485.5000	10
2485.0000	10
2484.5000	10
2484.0000	10
2483.5000	10
2483.0000	10
2482.5000	10
2482.0000	10
2481.5000	0.0748354
2481.0000	-0.28337
2480.5000	0.0022812
2480.0000	-0.107356
2479.5000	-0.267916
2479.0000	-0.265216
2478.5000	-0.312413
2478.0000	-0.340144
2477.5000	-0.51142
2477.0000	-0.166688
2476.5000	10
2476.0000	10
2475.5000	10
2475.0000	10
2474.5000	10
2474.0000	10
2473.5000	10
2473.0000	10
2472.5000	10
2472.0000	-3.774
2471.5000	-3.58264
2471.0000	-3.97485
2470.5000	-4.19557
2470.0000	-3.61519
2469.5000	10
2469.0000	10
2468.5000	10
2468.0000	0.673004
2467.5000	10
2467.0000	-0.105875
2466.5000	-0.0164554
2466.0000	0.227191
2465.5000	-0.791641
2465.0000	10
2464.5000	10
2464.0000	10
2463.5000	10
2463.0000	10
2462.5000	10
2462.0000	10
2461.5000	10
2461.0000	0.426636
2460.5000	10
2460.0000	10
2459.5000	10
2459.0000	10
2458.5000	-3.08646
2458.0000	10
2457.5000	10
2457.0000	10
2456.5000	10
2456.0000	10
2455.5000	10
2455.0000	10
2454.5000	10
2454.0000	10
2453.5000	10
2453.0000	10
2452.5000	10
2452.0000	10
2451.5000	10
2451.0000	10
2450.5000	10
2450.0000	10
2449.5000	10
2449.0000	10
2448.5000	10
2448.0000	10
2447.5000	10
2447.0000	0.385826
2446.5000	0.73234
2446.0000	-0.0398678
2445.5000	-0.300279
2445.0000	-3.30445
2444.5000	-3.9208
2444.0000	-4.11237
2443.5000	-4.32275
2443.0000	-4.1691
2442.5000	-4.32496
2442.0000	-1.11554
2441.5000	-4.34433
2441.0000	-0.278918
2440.5000	-0.206843
2440.0000	-0.0626669
2439.5000	10
2439.0000	0.462867
2438.5000	0.761821
2438.0000	10
2437.5000	10
2437.0000	0.337187
2436.5000	10
