TITLE,280s - 183nm - n
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/11/14
TIME,15:16:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1040
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2300.0000
LASTX,  900.0000
NPOINTS,    2801
FIRSTY,     5.10183
MAXY,    10.00000
MINY,    -4.45458
XYDATA
2300.0000,5.10183
2299.5000,10
2299.0000,2.56066
2298.5000,10
2298.0000,10
2297.5000,10
2297.0000,10
2296.5000,4.88222
2296.0000,4.53229
2295.5000,5.18322
2295.0000,0.0193702
2294.5000,5.03091
2294.0000,-1.20794
2293.5000,4.78751
2293.0000,10
2292.5000,4.62652
2292.0000,4.38463
2291.5000,5.0882
2291.0000,-2.33378
2290.5000,10
2290.0000,4.93143
2289.5000,-2.42414
2289.0000,10
2288.5000,4.91016
2288.0000,4.98968
2287.5000,3.20859
2287.0000,4.80055
2286.5000,10
2286.0000,-0.405374
2285.5000,3.11678
2285.0000,4.72159
2284.5000,5.08466
2284.0000,2.92229
2283.5000,4.86828
2283.0000,4.77752
2282.5000,4.85586
2282.0000,5.0579
2281.5000,10
2281.0000,-1.68192
2280.5000,5.18391
2280.0000,-0.247691
2279.5000,-2.19765
2279.0000,10
2278.5000,4.67632
2278.0000,4.93911
2277.5000,-2.58334
2277.0000,5.18791
2276.5000,10
2276.0000,10
2275.5000,-0.256128
2275.0000,2.80232
2274.5000,4.99854
2274.0000,4.94109
2273.5000,10
2273.0000,2.95173
2272.5000,5.04363
2272.0000,3.38794
2271.5000,10
2271.0000,10
2270.5000,2.65628
2270.0000,5.01332
2269.5000,2.79136
2269.0000,10
2268.5000,2.78019
2268.0000,-2.66112
2267.5000,10
2267.0000,10
2266.5000,4.89337
2266.0000,0.362644
2265.5000,10
2265.0000,-0.289639
2264.5000,10
2264.0000,5.01212
2263.5000,-1.22519
2263.0000,2.97293
2262.5000,10
2262.0000,2.8628
2261.5000,4.69075
2261.0000,5.18499
2260.5000,4.73229
2260.0000,2.67659
2259.5000,4.67592
2259.0000,10
2258.5000,5.79912
2258.0000,3.16403
2257.5000,4.8671
2257.0000,5.02379
2256.5000,-0.487823
2256.0000,4.99461
2255.5000,10
2255.0000,10
2254.5000,10
2254.0000,4.53927
2253.5000,4.40154
2253.0000,5.02505
2252.5000,3.12815
2252.0000,10
2251.5000,10
2251.0000,-4.42092
2250.5000,5.08774
2250.0000,10
2249.5000,-1.46337
2249.0000,2.66561
2248.5000,10
2248.0000,-0.0501667
2247.5000,10
2247.0000,4.8157
2246.5000,5.20344
2246.0000,-0.506341
2245.5000,10
2245.0000,2.82977
2244.5000,-0.297278
2244.0000,10
2243.5000,-0.0822489
2243.0000,4.75191
2242.5000,-0.0226829
