BinCenter (ps);Histo01;Histo02;Histo03;Histo04
50;0;0;502;436
150;0;0;464;426
250;0;0;419;490
350;0;0;464;473
450;0;0;446;470
550;0;0;475;463
650;0;0;474;434
750;0;0;435;458
850;0;0;455;505
950;0;0;483;465
1050;0;0;519;440
1150;0;0;445;498
1250;0;0;450;455
1350;0;0;445;491
1450;0;0;439;450
1550;0;0;467;442
1650;0;0;434;506
1750;0;0;463;455
1850;0;0;468;507
1950;0;0;454;3151
2050;0;0;5111;7397
2150;0;0;7610;964
2250;0;0;920;759
2350;0;0;785;724
2450;0;0;723;756
2550;0;0;783;678
2650;0;0;714;706
2750;0;0;691;676
2850;0;0;729;627
2950;0;0;670;681
3050;0;0;728;683
3150;0;0;687;689
3250;0;0;667;678
3350;0;0;701;665
3450;0;0;682;690
3550;0;0;640;654
3650;0;0;732;742
3750;0;0;710;669
3850;0;0;659;661
3950;0;0;683;657
4050;0;0;681;644
4150;0;0;651;649
4250;0;0;648;670
4350;0;0;631;634
4450;0;0;685;673
4550;0;0;695;667
4650;0;0;673;686
4750;0;0;643;629
4850;0;0;625;659
4950;0;0;617;644
5050;0;0;650;670
5150;0;0;634;655
5250;0;0;658;680
5350;0;0;669;661
5450;0;0;608;657
5550;0;0;629;614
5650;0;0;654;694
5750;0;0;631;646
5850;0;0;644;666
5950;0;0;649;614
6050;0;0;650;607
6150;0;0;642;618
6250;0;0;639;604
6350;0;0;608;632
6450;0;0;635;683
6550;0;0;621;623
6650;0;0;620;658
6750;0;0;622;666
6850;0;0;615;629
6950;0;0;587;630
7050;0;0;602;700
7150;0;0;617;604
7250;0;0;619;587
7350;0;0;635;643
7450;0;0;610;664
7550;0;0;614;649
7650;0;0;625;621
7750;0;0;608;595
7850;0;0;620;580
7950;0;0;608;653
8050;0;0;619;663
8150;0;0;629;600
8250;0;0;580;626
8350;0;0;609;623
8450;0;0;601;626
8550;0;0;649;603
8650;0;0;622;604
8750;0;0;578;630
8850;0;0;629;624
8950;0;0;622;679
9050;0;0;617;622
9150;0;0;617;585
9250;0;0;601;624
9350;0;0;590;626
9450;0;0;637;617
9550;0;0;621;605
9650;0;0;593;626
9750;0;0;616;619
9850;0;0;605;628
9950;0;0;613;607
10050;0;0;540;598
10150;0;0;610;605
10250;0;0;635;652
10350;0;0;647;595
10450;0;0;614;584
10550;0;0;539;589
10650;0;0;635;582
10750;0;0;581;625
