BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;0;0;24;27
1.5;0;0;26;37
2.5;0;0;28;29
3.5;0;0;37;25
4.5;0;0;30;32
5.5;0;0;39;24
6.5;0;0;31;21
7.5;0;0;31;27
8.5;0;0;33;30
9.5;0;0;33;23
10.5;0;0;28;22
11.5;0;0;34;24
12.5;0;0;28;35
13.5;0;0;22;37
14.5;0;0;34;23
15.5;0;0;32;23
16.5;0;0;31;31
17.5;0;0;37;20
18.5;0;0;26;22
19.5;0;0;32;30
20.5;0;0;27;30
21.5;0;0;30;32
22.5;0;0;28;23
23.5;0;0;31;28
24.5;0;0;37;20
25.5;0;0;29;27
26.5;0;0;22;33
27.5;0;0;32;27
28.5;0;0;40;28
29.5;0;0;33;21
30.5;0;0;35;29
31.5;0;0;31;31
32.5;0;0;31;28
33.5;0;0;27;35
34.5;0;0;31;20
35.5;0;0;28;29
36.5;0;0;29;23
37.5;0;0;39;40
38.5;0;0;28;26
39.5;0;0;23;30
40.5;0;0;34;30
41.5;0;0;36;28
42.5;0;0;31;33
43.5;0;0;37;21
44.5;0;0;28;39
45.5;0;0;25;23
46.5;0;0;34;30
47.5;0;0;31;31
48.5;0;0;43;22
49.5;0;0;34;24
50.5;0;0;26;36
51.5;0;0;31;24
52.5;0;0;38;41
53.5;0;0;21;34
54.5;0;0;32;35
55.5;0;0;32;32
56.5;0;0;31;32
57.5;0;0;35;23
58.5;0;0;29;27
59.5;0;0;30;27
60.5;0;0;29;26
61.5;0;0;31;36
62.5;0;0;27;31
63.5;0;0;34;33
64.5;0;0;24;24
65.5;0;0;27;34
66.5;0;0;34;34
67.5;0;0;20;27
68.5;0;0;32;32
69.5;0;0;26;16
70.5;0;0;29;22
71.5;0;0;23;28
72.5;0;0;31;28
73.5;0;0;30;23
74.5;0;0;27;22
75.5;0;0;34;15
76.5;0;0;27;24
77.5;0;0;27;23
78.5;0;0;30;41
79.5;0;0;39;31
80.5;0;0;24;29
81.5;0;0;21;29
82.5;0;0;30;39
83.5;0;0;33;24
84.5;0;0;30;39
85.5;0;0;27;29
86.5;0;0;25;33
87.5;0;0;28;29
88.5;0;0;25;23
89.5;0;0;27;25
90.5;0;0;24;37
91.5;0;0;23;29
92.5;0;0;29;39
93.5;0;0;18;27
94.5;0;0;30;32
95.5;0;0;30;23
96.5;0;0;25;28
97.5;0;0;28;33
98.5;0;0;28;30
99.5;0;0;28;28
100.5;0;0;21;30
101.5;0;0;36;29
102.5;0;0;22;30
103.5;0;0;34;29
104.5;0;0;32;28
105.5;0;0;21;28
106.5;0;0;23;32
107.5;0;0;38;28
108.5;0;0;30;32
109.5;0;0;27;27
110.5;0;0;26;24
111.5;0;0;31;25
112.5;0;0;20;33
113.5;0;0;29;27
114.5;0;0;31;25
115.5;0;0;26;23
116.5;0;0;29;30
117.5;0;0;27;37
118.5;0;0;22;32
119.5;0;0;28;23
120.5;0;0;28;20
121.5;0;0;25;27
122.5;0;0;35;33
123.5;0;0;33;44
124.5;0;0;23;30
125.5;0;0;36;21
126.5;0;0;25;27
127.5;0;0;24;35
128.5;0;0;26;21
129.5;0;0;25;35
130.5;0;0;34;32
131.5;0;0;36;30
132.5;0;0;18;19
133.5;0;0;27;35
134.5;0;0;30;36
135.5;0;0;37;30
136.5;0;0;21;34
137.5;0;0;20;30
138.5;0;0;17;22
139.5;0;0;23;30
140.5;0;0;29;32
141.5;0;0;26;28
142.5;0;0;38;27
143.5;0;0;21;32
144.5;0;0;26;41
145.5;0;0;27;26
146.5;0;0;33;35
147.5;0;0;20;28
148.5;0;0;26;38
149.5;0;0;19;38
150.5;0;0;26;33
151.5;0;0;39;28
152.5;0;0;37;31
153.5;0;0;32;31
154.5;0;0;25;40
155.5;0;0;26;23
156.5;0;0;24;28
157.5;0;0;21;13
158.5;0;0;27;36
159.5;0;0;30;9
160.5;0;0;37;42
161.5;0;0;19;29
162.5;0;0;47;30
163.5;0;0;28;22
164.5;0;0;33;25
165.5;0;0;23;24
166.5;0;0;22;24
167.5;0;0;16;35
168.5;0;0;28;27
169.5;0;0;28;25
170.5;0;0;39;25
171.5;0;0;22;29
172.5;0;0;27;23
173.5;0;0;26;23
174.5;0;0;26;34
175.5;0;0;26;19
176.5;0;0;21;31
177.5;0;0;25;24
178.5;0;0;22;42
179.5;0;0;23;24
180.5;0;0;24;24
181.5;0;0;28;29
182.5;0;0;22;27
183.5;0;0;32;25
184.5;0;0;22;26
185.5;0;0;32;23
186.5;0;0;29;26
187.5;0;0;26;31
188.5;0;0;34;35
189.5;0;0;29;26
190.5;0;0;39;19
191.5;0;0;29;21
192.5;0;0;29;23
193.5;0;0;33;30
194.5;0;0;29;23
195.5;0;0;21;18
196.5;0;0;31;28
197.5;0;0;26;23
198.5;0;0;39;25
199.5;0;0;30;29
200.5;0;0;36;28
201.5;0;0;41;32
202.5;0;0;27;32
203.5;0;0;27;27
204.5;0;0;29;37
